interventionType,intervention,jobsType,jobsName,value,id,region,country,gP,status
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P099528,ECA,Romania,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P100406,AFR,Africa,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P100406,AFR,Africa,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P100438,LCR,Mexico,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P100438,LCR,Mexico,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P100478,MNA,Tunisia,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P100478,MNA,Tunisia,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Intermediate Outcomes,Firm performance/ investment,Yes,P100530,SAR,India,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Creation,Entrepreneurs/self-employed,Yes,P100530,SAR,India,Environment & Natural Resources GP,Active
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Quality,Earnings/ livelihood,Yes,P100735,SAR,India,Water GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P100738,LCR,Colombia,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P100738,LCR,Colombia,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P100806,LCR,Argentina,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P100806,LCR,Argentina,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P101076,EAP,Philippines,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P101076,EAP,Philippines,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P101084,LCR,Bolivia,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P101084,LCR,Bolivia,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Youth,Yes,P101084,LCR,Bolivia,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P101209,LCR,Honduras,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P101209,LCR,Honduras,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P101471,LCR,Peru,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P101471,LCR,Peru,Environment & Natural Resources GP,Active
Meso-level: Business Environment,Infrastructure-Energy,Intermediate Outcomes,Firm performance/ investment,Yes,P101645,AFR,Tanzania,Energy & Extractives GP,Active
Meso-level: Business Environment,Infrastructure-Energy,Job Creation,New enterprises,Yes,P101645,AFR,Tanzania,Energy & Extractives GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P102177,ECA,Kazakhstan,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P102177,ECA,Kazakhstan,Education GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P102329,SAR,India,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P102329,SAR,India,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P102330,SAR,India,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P102330,SAR,India,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P102331,SAR,India,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P102331,SAR,India,Agriculture GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P102549,SAR,India,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P102549,SAR,India,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Youth,Yes,P102549,SAR,India,Education GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P102839,LCR,Colombia,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P102839,LCR,Colombia,Environment & Natural Resources GP,Pipeline
Macro-level: Economic Conditions,Trade & Investment Policy,Intermediate Outcomes,Firm performance/ investment,Yes,P103499,AFR,Nigeria,Trade & Competitiveness GP,Active
Macro-level: Economic Conditions,Trade & Investment Policy,Job Creation,Job creation (by employers),Yes,P103499,AFR,Nigeria,Trade & Competitiveness GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P104015,SAR,Nepal,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Quality,Earnings/ livelihood,Yes,P104015,SAR,Nepal,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P104015,SAR,Nepal,Education GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P104164,SAR,India,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P104164,SAR,India,Agriculture GP,Active
Meso-level: Business Environment,Infrastructure-Energy,Intermediate Outcomes,Firm performance/ investment,Yes,P104456,AFR,Cameroon,Energy & Extractives GP,Active
Meso-level: Business Environment,Infrastructure-Energy,Job Creation,New enterprises,Yes,P104456,AFR,Cameroon,Energy & Extractives GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P104567,LCR,Colombia,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P104567,LCR,Colombia,Agriculture GP,Active
Macro-level: Economic Conditions,Trade & Investment Policy,Intermediate Outcomes,Firm performance/ investment,Yes,P104881,AFR,Benin,Trade & Competitiveness GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P104901,SAR,India,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P104901,SAR,India,Agriculture GP,Active
Meso-level: Business Environment,Spatial Development,Intermediate Outcomes,Access to/ working of product markets,Yes,P104995,LCR,Brazil,"Urban, Rural & Social GP",Active
Meso-level: Business Environment,Spatial Development,Intermediate Outcomes,Firm performance/ investment,Yes,P104995,LCR,Brazil,"Urban, Rural & Social GP",Active
Meso-level: Business Environment,Spatial Development,Job Creation,Job creation (by employers),Yes,P104995,LCR,Brazil,"Urban, Rural & Social GP",Active
Meso-level: Business Environment,Spatial Development,Job Creation,New enterprises,Yes,P104995,LCR,Brazil,"Urban, Rural & Social GP",Active
Meso-level: Business Environment,Spatial Development,Job Quality,Earnings/ livelihood,Yes,P104995,LCR,Brazil,"Urban, Rural & Social GP",Active
Meso-level: Business Environment,Spatial Development,Job Access,Lagging regions,Yes,P104995,LCR,Brazil,"Urban, Rural & Social GP",Active
Meso-level: Business Environment,Labor Policies,Job Access,Working of labor market,Yes,P105024,LCR,Jamaica,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P105036,MNA,Jordan,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P105036,MNA,Jordan,Education GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P105101,AFR,Angola,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P105101,AFR,Angola,Social Protection & Labor GP,Active
Meso-level: Business Environment,Labor Policies,Job Access,Working of labor market,Yes,P105116,ECA,Azerbaijan,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P105122,LCR,Jamaica,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P105122,LCR,Jamaica,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P105226,SAR,Bangladesh,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P105226,SAR,Bangladesh,Environment & Natural Resources GP,Active
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Quality,Earnings/ livelihood,Yes,P105311,SAR,India,Water GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P105860,SAR,Nepal,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P105860,SAR,Nepal,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P105870,ECA,Kosovo,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P105870,ECA,Kosovo,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P105872,EAP,China,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P105872,EAP,China,Environment & Natural Resources GP,Active
Meso-level: Business Environment,Labor Policies,Job Quality,Earnings/ livelihood,Yes,P106034,SAR,Pakistan,Macro & Fiscal Management GP,Pipeline
Meso-level: Business Environment,Labor Policies,Job Access,Working of labor market,Yes,P106034,SAR,Pakistan,Macro & Fiscal Management GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P106063,AFR,Africa,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P106063,AFR,Africa,Environment & Natural Resources GP,Active
Meso-level: Business Environment,Infrastructure-ICT,Intermediate Outcomes,Access to/ working of product markets,Yes,P106589,LCR,Mexico,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure-ICT,Intermediate Outcomes,Firm performance/ investment,Yes,P106589,LCR,Mexico,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure-ICT,Job Creation,Job creation (by employers),Yes,P106589,LCR,Mexico,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure-ICT,Job Creation,New enterprises,Yes,P106589,LCR,Mexico,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Intermediate Outcomes,Access to/ working of product markets,Yes,P106596,AFR,Zambia,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Job Quality,Earnings/ livelihood,Yes,P106596,AFR,Zambia,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Job Access,Labor force participation,Yes,P106596,AFR,Zambia,Transport and ICT GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P106684,LCR,Argentina,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P106684,LCR,Argentina,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Intermediate Outcomes,Access to/ working of product markets,Yes,P106685,LCR,Argentina,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P106685,LCR,Argentina,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P106685,LCR,Argentina,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P106699,LCR,Haiti,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P106699,LCR,Haiti,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P106700,LCR,Bolivia,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P106700,LCR,Bolivia,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P106885,EAP,Philippines,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P106885,EAP,Philippines,Environment & Natural Resources GP,Active
Meso-level: Business Environment,Infrastructure-Energy,Intermediate Outcomes,Firm performance/ investment,Yes,P106982,AFR,"Congo, Democratic Republic of",Energy & Extractives GP,Active
Meso-level: Business Environment,Infrastructure-Energy,Job Creation,New enterprises,Yes,P106982,AFR,"Congo, Democratic Republic of",Energy & Extractives GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P107146,LCR,Brazil,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P107146,LCR,Brazil,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P107343,AFR,Burundi,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P107343,AFR,Burundi,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P107668,SAR,India,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P107668,SAR,India,Agriculture GP,Active
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Intermediate Outcomes,Access to/ working of product markets,Yes,P107767,AFR,Kenya,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Intermediate Outcomes,Firm performance/ investment,Yes,P107767,AFR,Kenya,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Creation,Entrepreneurs/self-employed,Yes,P107767,AFR,Kenya,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Quality,Worker productivity,Yes,P107767,AFR,Kenya,Agriculture GP,Pipeline
